case_id,timestamp,state_feature_vector,action_taken,reward_causal,was_safe,next_state
,2025-12-19T12:18:39.293228,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.293370,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.293667,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7e5e60aa-c60a-43ad-a346-38296754f1a4,200.0,True,terminal
,2025-12-19T12:18:39.293849,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.294324,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.294605,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.295575,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.295744,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.295898,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.296045,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.296190,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.296344,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.296765,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.296922,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.297088,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.297387,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7e5e60aa-c60a-43ad-a346-38296754f1a4,200.0,True,terminal
,2025-12-19T12:18:39.298281,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.298991,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.299140,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.299431,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.299878,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.300028,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.300508,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.301219,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.301505,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.301652,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.301797,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.302226,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.302370,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.302934,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.303236,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.303688,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.303999,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.304148,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.304297,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.304580,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.304748,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.305046,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.305331,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.305759,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.306752,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.306907,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.307195,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.307339,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_ceec943c-a7d0-42ce-a2e5-d96480a12f22,-5,True,terminal
,2025-12-19T12:18:39.307688,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.308005,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.308290,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.308461,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.308746,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.309173,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.309469,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.309618,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_ceec943c-a7d0-42ce-a2e5-d96480a12f22,200.0,True,terminal
,2025-12-19T12:18:39.310074,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.310222,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.310372,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.310787,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.311198,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.311613,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.311758,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,-5,True,terminal
,2025-12-19T12:18:39.311907,gateway=node_723bff19-6d44-444a-aec4-af0765364841,node_7dfa9092-90ba-46a4-a33f-4fcbe1e86d9c,200.0,True,terminal
,2025-12-19T12:18:39.312054,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.312334,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
,2025-12-19T12:18:39.312478,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,200.0,True,terminal
,2025-12-19T12:18:39.312754,gateway=node_76f8c527-f872-4164-be6e-1013945013f2,node_310aa977-b001-448a-bbef-a00860aabdf9,-5,True,terminal
